,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county,shape__area,shape__length,globalid
376,Selma,24983,85,3,6,25,51,605,204,280,121,0,Fresno,23569157.0742188,41678.1152430873,2cd7ed4b-fa77-447d-89a7-c529deb463de
377,Shafter,20456,53,0,3,9,41,513,127,298,88,8,Kern,151805676.316406,95747.5985247595,66ac58b8-65f3-4179-b88e-c2fb1c2accd1
378,Sierra Madre,10917,15,0,1,0,14,79,29,46,4,0,Los Angeles,11224441.3242188,14811.9517334063,8502ba25-c9f9-471a-91e0-7539f73abd82
379,Signal Hill,11624,95,0,1,27,67,678,110,491,77,3,Los Angeles,8263922.94921875,20718.6965209278,ceee12fd-8ecd-4671-a407-3d7075755fdf
380,Simi Valley,126025,146,1,15,35,95,1188,208,889,91,7,Ventura,160889382.574219,105750.850492169,d0cb7066-10cd-4484-b4c1-92752fc7f8ce
381,Solana Beach,13440,13,0,3,4,6,173,39,115,19,0,San Diego,12566902.2070313,17561.8286791104,7ec9f195-fdd1-4cc3-b51f-189c2c4da889
382,Soledad,26015,53,0,4,14,35,136,24,83,29,5,Monterey,18966855.5507813,40888.1283434078,0d5d645b-960f-4f31-b362-80863713e1ea
383,Solvang,5962,10,0,0,2,8,68,18,46,4,0,Santa Barbara,9355712.98828125,24088.2429126894,6830c821-869d-497a-ae44-c1f8f2988830
384,Sonoma,11323,38,0,6,1,31,122,21,95,6,1,Sonoma,11071137.5039063,23871.5576517794,50c6627f-60bf-4659-b731-5023d7b95e59
385,Sonora,4867,26,0,6,6,14,269,69,180,20,4,Tuolumne,12993923.5703125,21841.3039390573,3c38c8f0-24c3-418b-b84e-2792027ba80c
386,South El Monte,20852,102,1,11,32,58,500,132,254,114,3,Los Angeles,10779077.0390625,22809.6687687195,bfd367c5-2818-4fa7-93cf-6e057ccca3c2
387,South Gate,94445,622,4,21,179,418,2754,351,1663,740,26,Los Angeles,27722325.125,37662.4477779243,71ca371c-d27e-4817-ac81-dbda70c498eb
388,South Lake Tahoe,22116,111,2,10,20,79,449,79,335,35,0,El Dorado,74955719.4257813,55721.7024777344,8cdca7b8-e476-44ee-853a-cfdd655af6f0
389,South Pasadena,25612,29,0,2,11,16,566,94,434,38,0,Los Angeles,12938297.34375,15983.9196173555,7a8f02dd-023c-4d48-ba3e-77fc13a3d72d
390,South San Francisco,68251,166,2,19,64,81,1484,230,1074,180,7,San Mateo,37827918.4296875,63507.5265110519,100e95cc-ebf3-416e-8e20-fcbff3163802
391,Stanton,38276,95,3,10,31,51,526,83,344,99,7,Orange,11686823.3164063,33483.405482768,3e342915-b86a-4806-b2e1-ad40237cd5c6
392,St. Helena,6195,12,0,1,1,10,67,21,43,3,0,Napa,21581247.203125,31664.0712425904,8867b333-8e8e-4cdc-b41d-ef66a9699dde
393,Stockton,313604,4380,34,181,1158,3007,12367,2209,8480,1678,128,San Joaquin,276758684.480469,281373.058269844,34204680-532d-43ca-9f1b-f241dde7d3ce
394,Suisun City,29922,114,0,11,35,68,664,69,479,116,11,Solano,17185155.8945313,34090.9592344595,6aacc2ae-5b60-44da-b446-382981acf4e0
395,Sunnyvale,154859,259,0,37,84,138,3380,458,2598,324,32,Santa Clara,91366252.7578125,65588.7543784695,f0bae7c6-f6fe-4d03-8dd1-579081194cb6
396,Susanville,14878,196,0,7,10,179,207,45,157,5,0,Lassen,35316411.9453125,66105.7518881547,37718f8e-1c51-4f93-b8eb-2f7a1121444c
397,Sutter Creek,2624,3,0,1,0,2,44,8,30,6,2,Amador,11304102.8476563,32096.7323373362,64677ecc-2a27-42f8-82d7-b6bcc244b559
398,Taft,9413,67,0,6,4,57,244,70,149,25,0,Kern,58700865.6914063,53480.1798617673,9e636ec4-84ee-4d31-b881-de631c110d63
399,Tehachapi,12211,60,2,8,7,43,327,70,231,26,0,Kern,39970878.796875,65979.8003127906,aa95dac9-f8b1-47f0-bfcd-e15ec2e76d14
400,Temecula,116630,166,1,8,72,85,2626,318,2018,290,5,Riverside,138825973.71875,86826.8834935536,1bed47a6-0602-4d9e-ad08-fec50de263f5
401,Temple City,36192,64,1,7,23,33,331,122,175,34,1,Los Angeles,15259500.0820313,22322.0282256972,23a31143-9ece-4bf4-9e06-a9787fd127fe
402,Thousand Oaks,127811,88,0,27,23,38,1392,244,1084,64,2,Ventura,210489429.59375,123574.67923006,29e25c0d-d6e7-4d56-b082-2b09d59660e7
403,Tiburon,9135,0,0,0,0,0,82,13,67,2,0,Marin,18854218.5,51608.8531781674,ac336a93-9d60-4bd0-9d22-556c7b446de1
404,Torrance,145183,280,3,26,114,137,2853,399,2161,293,12,Los Angeles,77323534.96875,51431.0729386086,cee9d69e-414e-422a-b85f-829d261eccd8
405,Tracy,92895,166,5,35,62,64,1843,156,1411,276,14,San Joaquin,109828024.027344,128899.37678558,528aa343-6e1b-40e5-8f69-ca13170c32bf
406,Truckee,16611,31,0,3,4,24,114,36,66,12,1,Nevada,146124763.253906,92677.013875475,48be76d2-b276-4d79-b6d4-efe04e26157f
407,Tulare,65134,261,4,27,69,161,1469,225,951,293,11,Tulare,81450731.2929688,80939.1074005729,6cbc5570-702a-4644-a8ea-b7899b4349a0
408,Tulelake,985,3,0,1,0,2,4,1,3,0,0,Siskiyou,1910090.3203125,6727.17544813947,b6a65be9-57ef-487c-be2f-abaf7119f30a
409,Turlock,74120,426,1,29,138,258,2323,402,1483,438,34,Stanislaus,69493672.6171875,63723.1993275508,5b6d31fb-3ce8-41c6-ac23-768f86ce0d0c
410,Tustin,80356,141,1,16,61,63,2118,241,1694,183,6,Orange,41820895.9375,57145.1763645262,faf57a9c-093d-479e-92ce-8e051d38b516
411,Twentynine Palms,26588,117,0,10,15,92,265,96,134,35,4,San Bernardino,222715993.351563,106740.922849077,a7413e3a-b057-4dab-b9b6-6cec101bc4cd
412,Ukiah,16197,110,1,9,24,76,298,117,147,34,23,Mendocino,20608561.9023438,36972.481228619,fb4fd85b-688d-477e-90c2-acf088b22c19
413,Union City,75202,277,2,8,79,188,1718,192,1300,226,9,Alameda,80377660.4648438,71695.2447590985,6aa7416d-fd1d-4a4f-93c4-0770fbb1a2e5
414,Upland,77398,298,3,20,107,168,1821,368,1206,247,11,San Bernardino,59394283.703125,35235.9098136648,126b8229-3e2a-459d-855f-f1b727496269
415,Vacaville,101147,331,3,47,80,201,2442,162,2120,160,8,Solano,125859689.722656,99661.3418556159,cd5fff18-597a-492c-b806-b537dc537746
416,Vallejo,122657,1037,12,138,336,551,4941,2888,1148,905,52,Solano,128781938.925781,111406.58078821,5d233983-df7a-4a5e-ad14-bdd6b020d88a
417,Ventura,111596,458,3,56,106,293,2969,353,2362,254,7,Ventura,84183660.671875,127366.153137471,b6ca1816-a490-4ca0-b0fc-1f9f22f61b61
418,Vernon,112,27,0,1,12,14,485,133,272,80,5,Los Angeles,19472683.6210938,31186.4239824758,9bf3612c-3f05-490d-9f65-a208b544375b
419,Victorville,123089,988,5,45,255,683,2271,590,1061,620,21,San Bernardino,283232286.65625,142990.449724695,a98d7a6e-5a5c-477e-af88-acfb9f11f70f
420,Villa Park,5840,4,0,0,0,4,44,9,35,0,0,Orange,7853818.37890625,17655.3859711759,05c51b3c-8ec6-4d1c-ae38-dff22af2d203
421,Visalia,134961,586,4,111,159,312,3900,747,2627,526,20,Tulare,153180776.375,132472.38948029,50e29e46-a597-43c8-a3e1-f5a96bda5338
422,Vista,102227,354,2,38,93,221,1438,251,945,242,6,San Diego,69662663.796875,99294.9360690489,92ca4e60-39bd-451c-968a-9b06e89a3d30
423,Walnut,30108,38,0,4,14,20,386,152,207,27,0,Los Angeles,33932903.1796875,33705.1607973171,ae2139a0-501d-469a-ada3-016c2a66a4a9
424,Walnut Creek,70546,120,0,6,40,74,2496,307,2034,155,4,Contra Costa,82428801.484375,116944.312635597,adc694f6-2fb6-4cc4-8926-6241ea3f6fd3
425,Waterford,9021,13,0,1,5,7,143,17,76,50,0,Stanislaus,10166347.6875,18582.4891401087,c457bafe-f200-4f65-9931-1b8a36f71f28
426,Watsonville,54261,328,1,37,53,237,971,148,589,234,8,Santa Cruz,27580445.25,48950.2137587499,7d940c0c-5837-422e-abd6-70af8246d149
427,Weed,2673,34,0,3,4,27,55,8,38,9,0,Siskiyou,22193265.7539063,36202.9728628581,b7c479d4-a39c-4f00-a78d-17da1c164456
428,West Covina,106335,260,6,21,129,104,2369,354,1660,355,15,Los Angeles,60787433.9882813,75435.3600168253,6787f7e3-650e-4458-89f1-12cfad6e98db
429,West Hollywood,37173,294,0,24,139,131,1898,215,1566,117,9,Los Angeles,7178771.4921875,21043.1206737822,a5521376-b045-4227-a9c9-2289a4fda883
430,Westlake Village,8358,13,0,5,6,2,189,44,140,5,0,Los Angeles,20803175.9101563,23742.8009022052,2abfa6de-fb85-4c01-890a-1e46210f7628
431,Westminster,91086,259,0,19,122,118,2611,511,1824,276,22,Orange,37856067.8945313,54680.6146773354,901af9fe-a6a1-43b7-8b01-a9ac2a0b78bb
432,West Sacramento,54372,212,1,34,79,98,1603,236,1158,209,26,Yolo,97647197.203125,46539.3055212368,e106bd6c-95b2-437e-8544-9ceb8d6ca372
433,Wheatland,3940,6,0,0,1,5,43,8,26,9,0,Yuba,34931643.8710938,46816.2199893527,605ac660-f0b1-47c2-ba83-7adc6f311e3d
434,Whittier,86158,213,1,27,93,92,1901,318,1278,305,7,Los Angeles,55332675.2070313,60122.3409694454,9a76d19e-c723-4ff4-9f12-66366c729a27
435,Wildomar,37939,61,0,1,12,48,637,101,375,161,1,Riverside,88793381.0898438,42930.1354892912,900fffad-d4c4-40d4-a556-4338fd6123fd
436,Williams,5348,20,0,3,4,13,76,28,34,14,2,Colusa,21810706.8789063,31323.7559121148,8d61708a-ae37-4d43-bd2c-90bf3edf3a36
437,Willits,4937,16,0,2,6,8,92,28,51,13,2,Mendocino,12210984.328125,29849.4400068214,ac2c60fd-0866-4aa8-9388-832467951ce3
438,Windsor,27981,58,0,8,8,42,257,30,212,15,0,Sonoma,31964864.0976563,57540.81457591,090a768b-25e5-4310-8d66-b11805d58729
439,Winters,7374,11,0,0,1,10,115,19,81,15,3,Yolo,10804762.296875,24490.1125811704,e34317bc-3495-4d22-98ec-87face98e432
440,Woodlake,7682,28,0,4,2,22,88,14,61,13,0,Tulare,13124119.4492188,29231.0651581337,9c1c72b0-daa2-4d07-a3e6-2bb77c95031e
441,Woodland,61176,224,3,18,44,159,1488,231,1062,195,52,Yolo,63904987.75,73095.5181818295,df617f85-f032-4911-a177-1b7005b78c0e
442,Yorba Linda,68225,42,0,3,17,22,627,140,433,54,1,Orange,75095135.09375,73709.6961450616,26cab1e0-ea41-497a-a61a-526213d5578c
443,Yountville,2988,5,0,0,0,5,42,5,36,1,1,Napa,6139924.5,18166.7764789401,735a240a-584d-4627-8090-a2e92033d000
444,Yreka,7527,28,0,0,1,27,235,34,172,29,0,Siskiyou,46798868.375,64683.1907662048,a1a1efeb-3906-417a-812e-2184e2101bd5
445,Yuba City,67164,241,3,28,52,158,1823,230,1334,259,7,Sutter,66302159.09375,74665.9520026705,060e429b-d220-42b0-82c9-bb07aa3ceb8b
446,Yucaipa,53964,200,3,14,31,152,641,172,365,104,0,San Bernardino,106858391.742188,66660.7723633347,048cc48d-99e6-4541-97c5-27b43a221a05
447,Yucca Valley,21858,160,0,9,25,126,292,84,157,51,3,San Bernardino,150931680.210938,63739.2351735885,680fbc80-bd8b-4699-8097-b49c2b3f207e
